,no of threads,execution time,fraction enhanced,speedup,amdhal speedup,gustafson speedup
0,1,535.419,0.999965,1.0,1.0,1.0
1,2,284.152,0.9999399999999999,1.88432,1.8842200247928602,1.99994
2,4,176.24900000000002,0.999898,3.0380599999999998,3.0374285729089148,3.999694
3,6,170.764,0.9999299999999999,3.13554,3.1350713450817804,5.999649999999999
4,8,165.12099999999998,0.999873,3.24288,3.241956542424786,7.999111
5,12,160.3,0.9998379999999999,3.34053,3.339263865144805,11.998217999999998
6,16,155.202,0.9999100000000001,3.45001,3.4492494373947302,15.998650000000001
7,24,139.124,0.999856,3.8489199999999997,3.8473416493256893,23.996688
8,32,132.839,0.999842,4.03108,4.029150397004714,31.995102
